year,zip_code,housing_units_count,owner_occupied_housing_units_count,renter_occupied_housing_units_count
2011,90001,12853.0,4749.0,8104.0
2011,90002,11152.0,4528.0,6624.0
2011,90003,16151.0,5117.0,11034.0
2011,90004,23128.0,4265.0,18863.0
2011,90005,15775.0,1298.0,14477.0
2011,90006,18107.0,1655.0,16452.0
2011,90007,11273.0,1296.0,9977.0
2011,90008,14618.0,4834.0,9784.0
2011,90010,1683.0,424.0,1259.0
2011,90011,22258.0,6357.0,15901.0
2011,90012,9277.0,1206.0,8071.0
2011,90013,4310.0,507.0,3803.0
2011,90014,3715.0,186.0,3529.0
2011,90015,6764.0,827.0,5937.0
2011,90016,16713.0,5978.0,10735.0
2011,90017,8620.0,237.0,8383.0
2011,90018,15417.0,4572.0,10845.0
2011,90019,23689.0,6163.0,17526.0
2011,90020,16902.0,1622.0,15280.0
2011,90021,1485.0,115.0,1370.0
2011,90023,10705.0,2809.0,7896.0
2011,90024,17322.0,6004.0,11318.0
2011,90025,20828.0,5281.0,15547.0
2011,90026,25276.0,5686.0,19590.0
2011,90027,21702.0,4512.0,17190.0
2011,90028,14663.0,622.0,14041.0
2011,90029,13906.0,1346.0,12560.0
2011,90031,10951.0,3373.0,7578.0
2011,90032,13042.0,6299.0,6743.0
2011,90033,12662.0,2341.0,10321.0
2011,90034,26172.0,5040.0,21132.0
2011,90035,13229.0,4459.0,8770.0
2011,90036,18297.0,2761.0,15536.0
2011,90037,16281.0,3862.0,12419.0
2011,90038,12212.0,976.0,11236.0
2011,90039,11911.0,4960.0,6951.0
2011,90041,9401.0,4849.0,4552.0
2011,90042,20429.0,8952.0,11477.0
2011,90043,16319.0,8303.0,8016.0
2011,90044,25879.0,8357.0,17522.0
2011,90045,15302.0,8203.0,7099.0
2011,90046,28637.0,6400.0,22237.0
2011,90047,16494.0,9099.0,7395.0
2011,90048,11462.0,3364.0,8098.0
2011,90049,16800.0,9284.0,7516.0
2011,90056,3623.0,2284.0,1339.0
2011,90057,15545.0,611.0,14934.0
2011,90058,1094.0,116.0,978.0
2011,90059,9891.0,4079.0,5812.0
2011,90061,7215.0,3033.0,4182.0
2011,90062,9132.0,4103.0,5029.0
2011,90063,13088.0,4963.0,8125.0
2011,90064,10576.0,5839.0,4737.0
2011,90065,14646.0,7345.0,7301.0
2011,90066,24137.0,9742.0,14395.0
2011,90067,1462.0,1148.0,314.0
2011,90068,12430.0,5588.0,6842.0
2011,90069,13334.0,5577.0,7757.0
2011,90071,0.0,0.0,0.0
2011,90073,0.0,0.0,0.0
2011,90077,3329.0,3062.0,267.0
2011,90079,0.0,0.0,0.0
2011,90089,42.0,0.0,42.0
2011,90090,0.0,0.0,0.0
2011,90094,2636.0,1261.0,1375.0
2011,90095,0.0,0.0,0.0
2011,90210,8498.0,6211.0,2287.0
2011,90211,3510.0,1137.0,2373.0
2011,90212,5386.0,1416.0,3970.0
2011,90230,13186.0,7838.0,5348.0
2011,90232,6365.0,2395.0,3970.0
2011,90245,7094.0,3026.0,4068.0
2011,90247,16348.0,6384.0,9964.0
2011,90248,3596.0,2615.0,981.0
2011,90250,31204.0,9535.0,21669.0
2011,90262,15218.0,7335.0,7883.0
2011,90265,7022.0,5183.0,1839.0
2011,90272,8921.0,7386.0,1535.0
2011,90275,15143.0,12233.0,2910.0
2011,90280,23718.0,10503.0,13215.0
2011,90290,2604.0,2087.0,517.0
2011,90291,13959.0,4877.0,9082.0
2011,90292,12573.0,4025.0,8548.0
2011,90293,6934.0,3415.0,3519.0
2011,90301,12324.0,3056.0,9268.0
2011,90302,11032.0,3295.0,7737.0
2011,90304,6628.0,2296.0,4332.0
2011,90305,5851.0,3910.0,1941.0
2011,90402,5620.0,3847.0,1773.0
2011,90403,13948.0,3181.0,10767.0
2011,90404,9836.0,1929.0,7907.0
2011,90405,14296.0,4745.0,9551.0
2011,90501,14235.0,6541.0,7694.0
2011,90502,5569.0,3682.0,1887.0
2011,90504,11426.0,7023.0,4403.0
2011,90710,9079.0,5327.0,3752.0
2011,90717,8218.0,3644.0,4574.0
2011,90731,22036.0,7011.0,15025.0
2011,90732,8171.0,6209.0,1962.0
2011,90744,13977.0,5435.0,8542.0
2011,90745,14832.0,10422.0,4410.0
2011,90802,19486.0,4267.0,15219.0
2011,90810,9680.0,5169.0,4511.0
2011,90813,16126.0,2606.0,13520.0
2011,91011,6735.0,6158.0,577.0
2011,91030,10318.0,4953.0,5365.0
2011,91040,7163.0,5141.0,2022.0
2011,91042,9758.0,5568.0,4190.0
2011,91105,4937.0,3573.0,1364.0
2011,91201,8386.0,2787.0,5599.0
2011,91204,5758.0,838.0,4920.0
2011,91205,14017.0,2682.0,11335.0
2011,91206,12868.0,5142.0,7726.0
2011,91214,10471.0,7828.0,2643.0
2011,91302,9177.0,7138.0,2039.0
2011,91303,8508.0,2316.0,6192.0
2011,91304,16588.0,9000.0,7588.0
2011,91306,14096.0,8362.0,5734.0
2011,91307,8189.0,7068.0,1121.0
2011,91311,13452.0,9376.0,4076.0
2011,91316,11897.0,6219.0,5678.0
2011,91321,10955.0,6685.0,4270.0
2011,91324,8810.0,4710.0,4100.0
2011,91325,11837.0,5741.0,6096.0
2011,91326,11690.0,9204.0,2486.0
2011,91330,26.0,0.0,26.0
2011,91331,21365.0,12658.0,8707.0
2011,91335,22485.0,11297.0,11188.0
2011,91340,8523.0,4763.0,3760.0
2011,91342,23267.0,16842.0,6425.0
2011,91343,16833.0,9367.0,7466.0
2011,91344,16930.0,12775.0,4155.0
2011,91345,5353.0,3928.0,1425.0
2011,91352,12255.0,6705.0,5550.0
2011,91356,11400.0,6715.0,4685.0
2011,91364,9958.0,7471.0,2487.0
2011,91367,16291.0,9987.0,6304.0
2011,91371,0.0,0.0,0.0
2011,91401,14421.0,5035.0,9386.0
2011,91402,18378.0,6424.0,11954.0
2011,91403,11367.0,5088.0,6279.0
2011,91405,16713.0,4719.0,11994.0
2011,91406,17168.0,7958.0,9210.0
2011,91411,9083.0,2387.0,6696.0
2011,91423,14609.0,6180.0,8429.0
2011,91436,5470.0,4505.0,965.0
2011,91501,8195.0,2780.0,5415.0
2011,91504,9226.0,4987.0,4239.0
2011,91505,12592.0,6147.0,6445.0
2011,91506,7400.0,4437.0,2963.0
2011,91601,15463.0,2782.0,12681.0
2011,91602,8969.0,3003.0,5966.0
2011,91604,13655.0,6647.0,7008.0
2011,91605,15134.0,6043.0,9091.0
2011,91606,15424.0,5128.0,10296.0
2011,91607,13086.0,4527.0,8559.0
2011,91608,0.0,0.0,0.0
2011,91754,10825.0,5942.0,4883.0
2011,91801,19024.0,6885.0,12139.0
2011,91803,9808.0,5093.0,4715.0
2012,90001,12832.0,4604.0,8228.0
2012,90002,11617.0,4539.0,7078.0
2012,90003,16399.0,5259.0,11140.0
2012,90004,23101.0,4124.0,18977.0
2012,90005,15224.0,1297.0,13927.0
2012,90006,18404.0,1528.0,16876.0
2012,90007,11361.0,1379.0,9982.0
2012,90008,14085.0,4865.0,9220.0
2012,90010,2109.0,421.0,1688.0
2012,90011,21919.0,6210.0,15709.0
2012,90012,9451.0,1235.0,8216.0
2012,90013,5030.0,638.0,4392.0
2012,90014,3972.0,378.0,3594.0
2012,90015,6957.0,866.0,6091.0
2012,90016,17051.0,5959.0,11092.0
2012,90017,9135.0,295.0,8840.0
2012,90018,15300.0,4481.0,10819.0
2012,90019,23964.0,6243.0,17721.0
2012,90020,16808.0,1564.0,15244.0
2012,90021,1492.0,125.0,1367.0
2012,90023,10814.0,2714.0,8100.0
2012,90024,17520.0,5677.0,11843.0
2012,90025,20954.0,5373.0,15581.0
2012,90026,25295.0,5422.0,19873.0
2012,90027,21691.0,4666.0,17025.0
2012,90028,14959.0,687.0,14272.0
2012,90029,13961.0,1228.0,12733.0
2012,90031,11136.0,3273.0,7863.0
2012,90032,12921.0,6411.0,6510.0
2012,90033,12753.0,2306.0,10447.0
2012,90034,25877.0,5175.0,20702.0
2012,90035,13271.0,4406.0,8865.0
2012,90036,18334.0,2702.0,15632.0
2012,90037,16366.0,4030.0,12336.0
2012,90038,12252.0,948.0,11304.0
2012,90039,11804.0,4811.0,6993.0
2012,90041,9497.0,4830.0,4667.0
2012,90042,19798.0,8823.0,10975.0
2012,90043,16318.0,8129.0,8189.0
2012,90044,25526.0,8182.0,17344.0
2012,90045,15312.0,8249.0,7063.0
2012,90046,28793.0,6173.0,22620.0
2012,90047,16459.0,9190.0,7269.0
2012,90048,11284.0,3478.0,7806.0
2012,90049,16643.0,9254.0,7389.0
2012,90056,3769.0,2355.0,1414.0
2012,90057,15764.0,625.0,15139.0
2012,90058,973.0,106.0,867.0
2012,90059,9563.0,4100.0,5463.0
2012,90061,7173.0,2869.0,4304.0
2012,90062,9145.0,3957.0,5188.0
2012,90063,13245.0,4945.0,8300.0
2012,90064,10574.0,5829.0,4745.0
2012,90065,14652.0,7360.0,7292.0
2012,90066,24110.0,9544.0,14566.0
2012,90067,1470.0,1111.0,359.0
2012,90068,12514.0,5449.0,7065.0
2012,90069,13369.0,5037.0,8332.0
2012,90071,0.0,0.0,0.0
2012,90073,0.0,0.0,0.0
2012,90077,3195.0,2865.0,330.0
2012,90079,0.0,0.0,0.0
2012,90089,33.0,0.0,33.0
2012,90090,0.0,0.0,0.0
2012,90094,2797.0,1311.0,1486.0
2012,90095,0.0,0.0,0.0
2012,90210,8486.0,6215.0,2271.0
2012,90211,3569.0,989.0,2580.0
2012,90212,5506.0,1531.0,3975.0
2012,90230,13354.0,7736.0,5618.0
2012,90232,6347.0,2463.0,3884.0
2012,90245,6956.0,2859.0,4097.0
2012,90247,16256.0,6423.0,9833.0
2012,90248,3410.0,2590.0,820.0
2012,90250,31533.0,9702.0,21831.0
2012,90262,15229.0,7160.0,8069.0
2012,90265,6935.0,5042.0,1893.0
2012,90272,8906.0,7179.0,1727.0
2012,90275,15178.0,12461.0,2717.0
2012,90280,23925.0,11040.0,12885.0
2012,90290,2468.0,1982.0,486.0
2012,90291,14003.0,4814.0,9189.0
2012,90292,12523.0,4037.0,8486.0
2012,90293,6705.0,3066.0,3639.0
2012,90301,12245.0,2869.0,9376.0
2012,90302,10925.0,3126.0,7799.0
2012,90304,6658.0,2284.0,4374.0
2012,90305,5923.0,3843.0,2080.0
2012,90402,5544.0,3866.0,1678.0
2012,90403,13686.0,3312.0,10374.0
2012,90404,9678.0,2074.0,7604.0
2012,90405,14097.0,4630.0,9467.0
2012,90501,14312.0,6548.0,7764.0
2012,90502,5556.0,3809.0,1747.0
2012,90504,11400.0,7065.0,4335.0
2012,90710,9039.0,5378.0,3661.0
2012,90717,8319.0,3671.0,4648.0
2012,90731,22009.0,6911.0,15098.0
2012,90732,8347.0,5930.0,2417.0
2012,90744,13934.0,5657.0,8277.0
2012,90745,14827.0,10324.0,4503.0
2012,90802,19776.0,4142.0,15634.0
2012,90810,9425.0,5082.0,4343.0
